code,minutes,points_per_game,web_name,team_code,element_type,season
111234,3420,4.2,Pickford,11,1,2025-26
229600,450,3.8,Travers,11,1,2025-26
447325,0,0.0,Tyrer,11,1,2025-26
480455,2509,2.9,Branthwaite,11,2,2025-26
17761,2922,3.2,Tarkowski,11,2,2025-26
224967,3082,3.5,Mykolenko,11,2,2025-26
512462,1568,3.2,O'Brien,11,2,2025-26
59949,214,1.0,Coleman,11,2,2025-26
106611,1046,3.4,Keane,11,2,2025-26
243571,342,1.4,Patterson,11,2,2025-26
496178,90,0.0,Dixon,11,2,2025-26
474907,0,0.0,Welch,11,2,2025-26
440993,2426,3.5,Ndiaye,11,3,2025-26
433154,1366,4.4,McNeil,11,3,2025-26
502697,766,2.8,Alcaraz,11,3,2025-26
80801,3063,2.4,Gana,11,3,2025-26
232928,1590,2.0,Garner,11,3,2025-26
490094,562,1.2,Iroegbunam,11,3,2025-26
609873,47,0.7,Armstrong,11,3,2025-26
547801,0,0.0,Bates,11,3,2025-26
504296,0,0.0,Ebere,11,3,2025-26
496279,0,0.0,Heath,11,3,2025-26
491557,0,0.0,Metcalfe,11,3,2025-26
586309,0,0.0,Barry,11,4,2025-26
486385,1521,2.9,Beto,11,4,2025-26
491012,42,0.8,Y.Chermiti,11,4,2025-26
536241,0,0.0,Sherif,11,4,2025-26
499300,0,0.0,Aznou,11,2,2025-26
80201,3420,3.0,Leno,54,1,2025-26
428971,0,0.0,Benda,54,1,2025-26
169528,3166,2.9,Robinson,54,2,2025-26
174874,2673,1.7,Andersen,54,2,2025-26
232892,3074,2.1,Bassey,54,2,2025-26
166477,1642,1.9,Castagne,54,2,2025-26
219924,1334,1.5,Diop,54,2,2025-26
246301,349,1.1,J.Cuenca,54,2,2025-26
167074,1773,2.2,Tete,54,2,2025-26
591385,0,0.0,Amissah,54,2,2025-26
153133,2981,4.1,Iwobi,54,3,2025-26
209289,2036,3.4,Smith Rowe,54,3,2025-26
159533,1756,2.6,Adama,54,3,2025-26
156689,2004,2.5,Andreas,54,3,2025-26
184349,574,3.6,Sessegnon,54,3,2025-26
153682,1148,3.1,Wilson,54,3,2025-26
207189,2221,1.7,Berge,54,3,2025-26
76357,610,1.3,Cairney,54,3,2025-26
212314,2348,1.9,Lukić,54,3,2025-26
573062,21,1.0,Godo,54,3,2025-26
515024,0,0.0,Harris,54,3,2025-26
577725,126,1.2,King,54,3,2025-26
153366,100,0.8,Reed,54,3,2025-26
102057,2486,3.9,Raúl,54,4,2025-26
244042,943,2.8,Muniz,54,4,2025-26
86873,0,0.0,Lecomte,54,1,2025-26
437495,0,0.0,Meslier,2,1,2025-26
97846,0,0.0,Cairns,2,1,2025-26
59735,0,0.0,Darlow,2,1,2025-26
226182,0,0.0,Bogle,2,2,2025-26
222694,0,0.0,Struijk,2,2,2025-26
434752,0,0.0,Bijol,2,2,2025-26
437738,0,0.0,Bornauw,2,2,2025-26
113564,0,0.0,Byram,2,2,2025-26
243526,0,0.0,Gudmundsson,2,2,2025-26
214225,0,0.0,Rodon,2,2,2025-26
492368,0,0.0,Schmidt,2,2,2025-26
427637,0,0.0,Aaronson,2,3,2025-26
492859,0,0.0,Gnonto,2,3,2025-26
221399,2068,2.4,Harrison,2,3,2025-26
200617,0,0.0,James,2,3,2025-26
199598,0,0.0,Ampadu,2,3,2025-26
248937,0,0.0,Greenwood,2,3,2025-26
486520,0,0.0,Gruev,2,3,2025-26
433952,0,0.0,Ramazani,2,3,2025-26
248056,0,0.0,Tanaka,2,3,2025-26
536119,0,0.0,Crew,2,3,2025-26
462635,0,0.0,Gelhardt,2,3,2025-26
470294,0,0.0,Gyabi,2,3,2025-26
235826,0,0.0,Piroe,2,4,2025-26
106617,0,0.0,Bamford,2,4,2025-26
565297,0,0.0,Mateo Joseph,2,4,2025-26
174594,0,0.0,Nmecha,2,4,2025-26
180135,783,1.4,Longstaff,2,3,2025-26
466525,0,0.0,Stach,2,3,2025-26
201595,0,0.0,Perri,2,1,2025-26
116535,2508,4.0,A.Becker,14,1,2025-26
449027,0,0.0,Mamardashvili,14,1,2025-26
586268,0,0.0,Pécsi,14,1,2025-26
155503,0,0.0,Woodman,14,1,2025-26
216094,0,0.0,Frimpong,14,2,2025-26
544877,3336,3.5,Kerkez,14,2,2025-26
122798,2479,2.8,Robertson,14,2,2025-26
97032,3330,3.9,Virgil,14,2,2025-26
204716,2561,3.4,Konaté,14,2,2025-26
492777,744,2.2,Bradley,14,2,2025-26
171287,517,1.6,Gomez,14,2,2025-26
214285,829,2.4,Tsimikas,14,2,2025-26
611926,0,0.0,Nallo,14,2,2025-26
219937,0,0.0,R.Williams,14,2,2025-26
489580,0,0.0,Ramsay,14,2,2025-26
118748,3374,9.1,M.Salah,14,3,2025-26
494595,0,0.0,Wirtz,14,3,2025-26
244731,2393,5.1,Luis Díaz,14,3,2025-26
243298,1921,3.6,Gakpo,14,3,2025-26
223541,103,1.2,Chiesa,14,3,2025-26
243016,2597,3.5,Mac Allister,14,3,2025-26
424876,2485,4.0,Szoboszlai,14,3,2025-26
206915,1702,2.6,C.Jones,14,3,2025-26
444884,359,1.8,Elliott,14,3,2025-26
441266,3160,2.5,Gravenberch,14,3,2025-26
496208,0,0.0,Doak,14,3,2025-26
158983,259,1.1,Endo,14,3,2025-26
535928,0,0.0,Bajcetic,14,3,2025-26
491501,0,0.0,McConnell,14,3,2025-26
440148,0,0.0,Morton,14,3,2025-26
591386,0,0.0,Nyoni,14,3,2025-26
447203,1113,2.2,Darwin,14,4,2025-26
500058,10,1.0,Danns,14,4,2025-26
510663,0,0.0,Ekitiké,14,4,2025-26
432720,0,0.0,Trafford,43,1,2025-26
121160,2320,4.3,Ederson M.,43,1,2025-26
88248,1099,2.7,Ortega Moreno,43,1,2025-26
122074,0,0.0,Bettinelli,43,1,2025-26
448514,3112,3.4,Aït-Nouri,43,2,2025-26
477424,3278,4.1,Gvardiol,43,2,2025-26
211975,2012,2.3,Akanji,43,2,2025-26
126184,677,2.5,Aké,43,2,2025-26
578153,503,2.3,Khusanov,43,2,2025-26
465351,1670,3.1,Matheus N.,43,2,2025-26
171314,2269,3.3,Rúben,43,2,2025-26
97299,544,2.6,Stones,43,2,2025-26
477064,1888,2.4,Lewis,43,2,2025-26
472769,525,3.4,O’Reilly,43,2,2025-26
616222,1,1.0,Vitor Reis,43,2,2025-26
438234,1174,4.6,Marmoush,43,3,2025-26
209244,1771,3.8,Foden,43,3,2025-26
510281,1760,3.7,Savinho,43,3,2025-26
165809,2667,3.3,Bernardo,43,3,2025-26
466052,0,0.0,Cherki,43,3,2025-26
248875,1506,3.0,Doku,43,3,2025-26
114283,710,1.9,Grealish,43,3,2025-26
59859,2218,2.9,Gündoğan,43,3,2025-26
220566,72,1.0,Rodrigo,43,3,2025-26
91651,2194,3.5,Kovačić,43,3,2025-26
465694,760,2.8,N.Gonzalez,43,3,2025-26
477555,14,1.0,Bobb,43,3,2025-26
575204,5,1.0,Echeverri,43,3,2025-26
432714,340,2.1,McAtee,43,3,2025-26
433036,0,0.0,Reijnders,43,3,2025-26
566164,0,0.0,Nypan,43,3,2025-26
155405,1231,1.4,Phillips,43,3,2025-26
223094,2736,5.8,Haaland,43,4,2025-26
446008,3415,6.2,Mbeumo,1,3,2025-26
451302,360,2.0,Bayindir,1,1,2025-26
202641,3060,3.5,Onana,1,1,2025-26
588555,0,0.0,Harrison,1,1,2025-26
21205,0,0.0,Heaton,1,1,2025-26
461537,0,0.0,Mee,1,1,2025-26
209365,2119,2.3,De Ligt,1,2,2025-26
221820,1751,3.4,Martinez,1,2,2025-26
230001,2836,2.4,Mazraoui,1,2,2025-26
661712,0,0.0,D.Leon,1,2,2025-26
216051,2812,2.9,Dalot,1,2,2025-26
596777,840,1.5,Dorgu,1,2,2025-26
95658,1751,1.8,Maguire,1,2,2025-26
106760,346,0.7,Shaw,1,2,2025-26
550864,1160,1.0,Yoro,1,2,2025-26
577974,345,0.8,Amass,1,2,2025-26
547676,166,1.0,Fredricson,1,2,2025-26
606745,169,2.5,Heaven,1,2,2025-26
222690,99,0.7,Malacia,1,2,2025-26
141746,3017,4.8,B.Fernandes,1,3,2025-26
430871,2596,5.4,Cunha,1,3,2025-26
176297,1414,3.8,Rashford,1,3,2025-26
493250,1898,5.0,Amad,1,3,2025-26
493105,2188,2.9,Garnacho,1,3,2025-26
467169,135,1.0,Antony,1,3,2025-26
184341,613,1.5,Mount,1,3,2025-26
209243,1754,2.8,Sancho,1,3,2025-26
61256,1489,2.0,Casemiro,1,3,2025-26
516895,1646,1.7,Mainoo,1,3,2025-26
232112,1777,1.7,Ugarte,1,3,2025-26
490881,174,1.0,Collyer,1,3,2025-26
556639,0,0.0,Fitzgerald,1,3,2025-26
547037,0,0.0,J.Fletcher,1,3,2025-26
618873,0,0.0,Kone,1,3,2025-26
559684,0,0.0,Moorhouse,1,3,2025-26
497894,1998,2.4,Højlund,1,4,2025-26
458249,1385,2.0,Zirkzee,1,4,2025-26
596047,160,1.0,Obi,1,4,2025-26
575034,0,0.0,Wheatley,1,4,2025-26
98747,2520,3.6,Pope,4,1,2025-26
81441,0,0.0,Gillespie,4,1,2025-26
111452,0,0.0,Odysseas,4,1,2025-26
487838,2188,3.8,Hall,4,2,2025-26
119471,2935,3.5,Schär,4,2,2025-26
220237,412,2.2,Botman,4,2,2025-26
78916,3330,3.1,Burn,4,2,2025-26
441191,2835,2.8,Livramento,4,2,2025-26
77794,1299,2.9,Trippier,4,2,2025-26
111773,334,1.4,Krafth,4,2,2025-26
101148,0,0.0,Lascelles,4,2,2025-26
545477,0,0.0,A.Murphy,4,2,2025-26
441024,0,0.0,Ashby,4,2,2025-26
578512,0,0.0,Pivas,4,2,2025-26
169359,20,1.0,Targett,4,2,2025-26
232826,2428,3.6,Gordon,4,3,2025-26
449434,2496,4.0,Elanga,4,3,2025-26
201666,1746,3.9,Barnes,4,3,2025-26
208706,3273,3.6,Bruno G.,4,3,2025-26
114243,2356,4.5,J.Murphy,4,3,2025-26
180974,2394,3.4,Joelinton,4,3,2025-26
432422,2625,2.9,Tonali,4,3,2025-26
640108,0,0.0,Antoñito C.,4,3,2025-26
200089,1065,1.4,Willock,4,3,2025-26
153127,0,0.0,Hayden,4,3,2025-26
564510,0,0.0,Kuol,4,3,2025-26
547719,304,1.5,L.Miley,4,3,2025-26
461484,0,0.0,White,4,3,2025-26
219168,2758,6.2,Isak,4,4,2025-26
538207,124,1.4,Osula,4,4,2025-26
599303,0,0.0,Neave,4,4,2025-26
225321,0,0.0,Ramsdale,4,1,2025-26
85633,3420,3.9,Sels,17,1,2025-26
475123,0,0.0,C.Miguel,17,1,2025-26
224068,0,0.0,Turner,17,1,2025-26
227444,3330,3.9,Milenković,17,2,2025-26
575476,3188,3.6,Murillo,17,2,2025-26
159506,2996,3.7,Aina,17,2,2025-26
215136,2588,3.1,N.Williams,17,2,2025-26
451432,0,0.0,David Carmo,17,2,2025-26
575458,0,0.0,Jair Cunha,17,2,2025-26
485047,891,1.4,Morato,17,2,2025-26
204822,0,0.0,O.Richards,17,2,2025-26
549067,0,0.0,Abbott,17,2,2025-26
90585,146,1.0,Boly,17,2,2025-26
222531,2806,4.5,Gibbs-White,17,3,2025-26
209046,2190,3.3,Hudson-Odoi,17,3,2025-26
215379,2726,2.9,Anderson,17,3,2025-26
510500,835,1.7,Jota,17,3,2025-26
250199,1954,1.6,Dominguez,17,3,2025-26
243345,0,0.0,O'Brien,17,3,2025-26
210462,584,1.5,Sangaré,17,3,2025-26
204968,1901,1.9,Yates,17,3,2025-26
569014,28,1.0,Da Silva Moreira,17,3,2025-26
495161,0,0.0,Stamenic,17,3,2025-26
60689,2958,5.6,Wood,17,4,2025-26
482973,0,0.0,Igor Jesus,17,4,2025-26
210156,398,1.2,Awoniyi,17,4,2025-26
456512,0,0.0,Ndoye,17,3,2025-26
107265,0,0.0,Gunn,17,1,2025-26
499309,71,1.0,Marc Guiu,56,4,2025-26
232571,0,0.0,Patterson,56,1,2025-26
74854,0,0.0,Moore,56,1,2025-26
490000,0,0.0,Nna Noukeu,56,1,2025-26
223827,0,0.0,Ballard,56,2,2025-26
487676,0,0.0,Hume,56,2,2025-26
220684,0,0.0,Alese,56,2,2025-26
232820,0,0.0,Anderson,56,2,2025-26
