"Code","Player Name","Position","HidPos","Team","Value","Status","Picked %","PickedTop 100 %","PickedTop 1000 %","Tot Pts","PPG","PPM","T6","G6","PPG6","Min","Goals","Assists","CS","GC","OG","PS","PM","Y","R","Saves","Bonus","BPS","Inf","Creat","Threat","ICT"
"60232","Dawson","DEF","2","Wolverhampton","4.8","a","0.8","0","0","75","3","15.63","0","5","0.00","2134","1","1","7","31","0","0","0","6","0","0","7","390","455.6","37.2","145","64.0"
"110735","Webster","DEF","2","B & H Albion","4.5","a","0.5","0","0","75","2.8","16.67","0","4","0.00","1983","0","0","9","27","1","0","0","2","0","0","3","405","354.0","104.0","126","58.4"
"86129","Koulibaly","DEF","2","Chelsea","5.5","a","5.4","0","0.1","74","3.2","13.45","0","1","0.00","1798","2","1","6","22","0","0","0","5","1","0","8","408","497.4","104.1","141","74.5"
"54469","Smith","DEF","2","Bournemouth","4.3","a","0.2","0","0","74","2","17.21","0","6","0.00","2940","0","1","7","58","0","0","0","11","0","0","5","400","406.2","261.6","88","75.7"
"55459","Cresswell","DEF","2","West Ham","4.7","a","1.5","0","0.1","74","2.6","15.74","0","5","0.00","2235","0","1","6","32","0","0","0","3","0","0","8","439","411.6","632.9","81","113.0"
"438464","C.Doucouré","MID","3","Crystal Palace","5","a","0.1","1","0.4","74","2.2","14.80","0","5","0.00","2770","0","3","7","41","0","0","0","8","1","0","3","411","471.4","345.8","157","97.6"
"450070","Summerville","MID","3","Leeds United","4.2","a","0.6","0","0","74","2.6","17.62","0","4","0.00","1411","4","4","1","38","0","0","0","4","0","0","4","235","311.8","222.6","357","88.6"
"121145","Cancelo","DEF","2","Man City","7.1","u","17.8","87","89.5","73","4.3","10.28","0","0","0.00","1273","2","2","6","16","0","0","0","3","1","0","10","304","277.0","266.4","276","81.2"
"106468","Álex Moreno","DEF","2","Aston Villa","4.5","i","2.1","0","0","72","3.8","16.00","0","5","0.00","1325","0","3","7","10","0","0","0","3","0","0","5","278","254.4","321.1","151","72.3"
"245824","Vinícius","STR","4","Fulham","5.4","a","0.5","0","0","72","2.6","13.33","0","6","0.00","1098","5","2","1","20","0","0","0","3","0","0","10","206","244.0","118.3","370","72.7"
"244560","Perraud","DEF","2","Southampton","4","i","0.4","0","0","71","2.4","17.75","0","1","0.00","1828","2","2","4","35","1","0","0","4","0","0","5","304","360.6","251.8","298","90.9"
"217593","Fornals","MID","3","West Ham","4.9","a","0.3","1","0.1","71","2.2","14.49","0","6","0.00","1493","3","1","1","28","0","0","0","0","0","0","6","282","226.6","281.0","182","68.7"
