ID,Min,PPG,Tot Pts,birth_date,Player Name,team_code,team_join_date,Position,season,New In League,New In Team,time_in_league,max_minutes_in_position_past_season,max_minutes_by_signing_past_season,avg_ppg_position_team_high_minutes,points_last_season,avg_points_last_2_seasons,avg_points_last_3_seasons,minutes_last_season,avg_minutes_last_2_seasons,avg_minutes_last_3_seasons,minutes_last_season_same_team,avg_minutes_last_2_seasons_same_team,avg_minutes_last_3_seasons_same_team
13152,1446,1.8,41,,King,13,,MID,2016-17,False,False,0,,,,,,,,,,,,
13152,1247,2.3,51,,King,80,,MID,2017-18,False,True,1,3327.0,,3.0,1.8,1.8,1.8,1446.0,1446.0,1446.0,,,
13152,0,0.0,0,,King,13,,MID,2019-20,True,True,2,3295.0,,2.5599999999999996,2.3,2.05,2.05,1247.0,1346.5,1346.5,1446.0,1446.0,1446.0
14075,227,0.4,2,,Evra,21,,DEF,2017-18,True,True,0,2934.0,,2.82,,,,,,,,,
14295,3231,2.7,103,,Fletcher,35,,MID,2016-17,False,False,0,,,,,,,,,,,,
14295,2217,2.5,67,,Fletcher,110,,MID,2017-18,False,True,1,2930.0,,3.08,2.7,2.7,2.7,3231.0,3231.0,3231.0,,,
14664,1941,3.4,86,,Yaya Touré,43,,MID,2016-17,False,False,0,,,,,,,,,,,,
14664,227,1.6,16,,Yaya Touré,43,,MID,2017-18,False,False,1,,,,3.4,3.4,3.4,1941.0,1941.0,1941.0,1941.0,1941.0,1941.0
14927,0,0.0,0,,Halford,97,,DEF,2018-19,True,True,0,,,,,,,,,,,,
14937,2454,5.3,159,,Ronaldo,1,,FWD,2021-22,True,True,0,1477.0,,3.4,,,,,,,,,
14937,519,2.0,20,,Ronaldo,1,,FWD,2022-23,False,False,1,,2454.0,,5.3,5.3,5.3,2454.0,2454.0,2454.0,2454.0,2454.0,2454.0
15033,2430,2.3,63,,Morgan,13,,DEF,2016-17,False,False,0,,,,,,,,,,,,
15033,2817,1.9,61,,Morgan,13,,DEF,2017-18,False,False,1,,,,2.3,2.3,2.3,2430.0,2430.0,2430.0,2430.0,2430.0,2430.0
15033,1924,3.5,76,,Morgan,13,,DEF,2018-19,False,False,2,,3420.0,,1.9,2.0999999999999996,2.0999999999999996,2817.0,2623.5,2623.5,2817.0,2623.5,2623.5
15033,430,1.7,19,,Morgan,13,,DEF,2019-20,False,False,3,,3123.0,,3.5,2.7,2.5666666666666664,1924.0,2370.5,2390.3333333333335,1924.0,2370.5,2390.3333333333335
15033,16,1.0,3,,Morgan,13,,DEF,2020-21,False,False,4,,1998.0,,1.7,2.6,2.3666666666666667,430.0,1177.0,1723.6666666666667,430.0,1177.0,1723.6666666666667
15109,2025,2.0,62,,Huddlestone,88,,MID,2016-17,False,False,0,,,,,,,,,,,,
15114,1163,2.0,32,,Britton,80,,MID,2016-17,False,False,0,,,,,,,,,,,,
15114,301,2.0,10,,Britton,80,,MID,2017-18,False,False,1,,,,2.0,2.0,2.0,1163.0,1163.0,1163.0,1163.0,1163.0,1163.0
15137,163,1.0,3,,Rosenior,36,,DEF,2017-18,True,True,0,,,,,,,,,,,,
15144,1440,2.0,32,,Marshall,88,,GK,2016-17,False,False,0,,,,,,,,,,,,
15149,2938,2.6,89,,Francis,91,,DEF,2016-17,False,False,0,,,,,,,,,,,,
15149,2708,1.8,56,,Francis,91,,DEF,2017-18,False,False,1,,,,2.6,2.6,2.6,2938.0,2938.0,2938.0,2938.0,2938.0,2938.0
15149,1227,2.4,40,,Francis,91,,DEF,2018-19,False,False,2,,3420.0,,1.8,2.2,2.2,2708.0,2823.0,2823.0,2708.0,2823.0,2823.0
15149,964,1.1,16,,Francis,91,,DEF,2019-20,False,False,3,,2505.0,,2.4,2.0999999999999996,2.2666666666666666,1227.0,1967.5,2291.0,1227.0,1967.5,2291.0
15157,3154,3.9,139,,Milner,14,,MID,2016-17,False,False,0,,,,,,,,,,,,
15157,1759,2.4,77,,Milner,14,,DEF,2017-18,False,False,1,,,,3.9,3.9,3.9,3154.0,3154.0,3154.0,3154.0,3154.0,3154.0
15157,1778,3.3,101,,Milner,14,,MID,2018-19,False,False,2,,2905.0,,2.4,3.15,3.15,1759.0,2456.5,2456.5,1759.0,2456.5,2456.5
15157,924,2.2,49,,Milner,14,,MID,2019-20,False,False,3,,3420.0,,3.3,2.8499999999999996,3.1999999999999997,1778.0,1768.5,2230.3333333333335,1778.0,1768.5,2230.3333333333335
